cod_cia,periodo,cod_subramo,primas_emitidas,primas_devengadas,siniestros_devengados,gastos_totales_devengados
0002,202301,2.010.01,244054693.0,229890133.0,3012525.0,155259537.0
0006,202202,1.010.99,2609.0,1923.0,-493.0,802.0
0006,202202,1.020.01,39886650.0,40496205.0,244849.0,33867901.0
0006,202202,1.020.02,6279950.0,4984855.0,-924047.0,1718569.0
0006,202202,1.030.01,0.0,0.0,0.0,0.0
0006,202202,1.070.02,0.0,3753.0,-1869.0,0.0
0006,202202,1.080.99,97780473.0,98886118.0,49195320.0,45543329.0
0006,202202,1.090.99,28750964.0,29068578.0,-1733638.0,24381691.0
0006,202202,1.100.01,222743556.0,-11565322.0,-16351800.0,112523978.0
0006,202202,1.100.99,185470165.0,208891827.0,4428492.0,61136350.0
0006,202202,2.010.01,20163137.0,20243974.0,-2654237.0,33868794.0
0006,202202,2.010.02,63958210.0,27335235.0,193730.0,267772.0
0006,202202,2.020.02,22049492.0,21725924.0,1735311.0,22344234.0
0006,202202,2.030.01,37340.0,53538.0,0.0,17878.0
0006,202202,2.030.02,1512936381.0,1513384560.0,115484107.0,553755687.0
0006,202202,2.030.04,84134081.0,84110820.0,-36756565.0,36989036.0
0006,202202,2.050.01,3715256.0,4517065.0,1023175.0,2146243.0
0006,202202,2.050.02,695304699.0,705360639.0,177074385.0,464558792.0
0006,202203,1.010.99,0.0,802.0,-223.0,0.0
0006,202203,1.020.01,7519473.0,7916796.0,140894.0,5102727.0
0006,202203,1.020.02,248999.0,-1705806.0,2840086.0,-404571.0
0006,202203,1.030.01,0.0,0.0,-975665.0,0.0
0006,202203,1.070.02,0.0,0.0,-834.0,0.0
0006,202203,1.080.99,28001213.0,28476431.0,2923789.0,12654201.0
0006,202203,1.090.99,6664343.0,7225467.0,48628.0,3921241.0
0006,202203,1.100.01,100100047.0,-175103740.0,0.0,41955146.0
0006,202203,1.100.99,50708387.0,27809754.0,1396128.0,15357926.0
0006,202203,2.010.01,5158119.0,5055724.0,0.0,11363176.0
0006,202203,2.010.02,33983803.0,28840834.0,-16374.0,165233.0
0006,202203,2.020.02,6633588.0,5504371.0,-373056.0,4724677.0
0006,202203,2.030.01,0.0,9746.0,0.0,0.0
0006,202203,2.030.02,366727499.0,366647055.0,27106617.0,134369911.0
0006,202203,2.030.04,26491302.0,26512324.0,3763758.0,6702390.0
0006,202203,2.050.01,1113659.0,1324108.0,107484.0,466918.0
0006,202203,2.050.02,172059354.0,172024253.0,52459906.0,118096543.0
0006,202204,1.010.99,1986.0,1460.0,-177.0,612.0
0006,202204,1.020.01,14804559.0,16179580.0,2784715.0,12792747.0
0006,202204,1.020.02,4485576.0,1144934.0,3543192.0,949720.0
0006,202204,1.030.01,0.0,0.0,-1144391.0,0.0
0006,202204,1.070.02,0.0,0.0,-295.0,0.0
0006,202204,1.080.99,64452777.0,64929430.0,11822683.0,32429330.0
0006,202204,1.090.99,14278565.0,15667484.0,181444.0,11626156.0
0006,202204,1.100.01,235617485.0,90396541.0,0.0,104107424.0
0006,202204,1.100.99,97931199.0,55905184.0,2823852.0,34369571.0
0006,202204,2.010.01,9908942.0,10593128.0,0.0,26501008.0
0006,202204,2.010.02,64054210.0,66976211.0,70681.0,387803.0
0006,202204,2.020.02,14759143.0,15419475.0,921307.0,18291217.0
0006,202204,2.030.01,14741.0,23683.0,0.0,6960.0
0006,202204,2.030.02,830744375.0,830978342.0,63401054.0,320115795.0
0006,202204,2.030.04,59673844.0,59762601.0,8135905.0,16075426.0
0006,202204,2.050.01,2212063.0,2774370.0,438353.0,1246113.0
0006,202204,2.050.02,406023504.0,405857542.0,116840808.0,299272530.0
0006,202301,1.010.99,2417.0,2374.0,-234.0,849.0
0006,202301,1.020.01,26224046.0,27709853.0,3241282.0,20574560.0
0006,202301,1.020.02,10896418.0,2695234.0,4564472.0,2857992.0
0006,202301,1.030.01,0.0,0.0,-1393094.0,0.0
0006,202301,1.070.02,0.0,0.0,-507.0,0.0
0006,202301,1.080.99,119707864.0,121523191.0,22055917.0,63454091.0
0006,202301,1.090.99,25589641.0,27408065.0,197742.0,16333891.0
0006,202301,1.100.01,352844672.0,230525342.0,0.0,163379395.0
0006,202301,1.100.99,155917609.0,94183610.0,7090363.0,61198888.0
0006,202301,2.010.01,18024125.0,18677164.0,0.0,44151921.0
0006,202301,2.010.02,104853246.0,102824055.0,400729.0,672925.0
0006,202301,2.020.02,25222653.0,26053379.0,1618038.0,32496341.0
0006,202301,2.030.01,35930.0,40205.0,0.0,18647.0
0006,202301,2.030.02,1551472845.0,1551838388.0,113013046.0,651140026.0
0006,202301,2.030.04,110615378.0,110686095.0,11609593.0,32331432.0
0006,202301,2.050.01,3659625.0,4846233.0,1282708.0,2493039.0
0006,202301,2.050.02,753448015.0,727827245.0,217028537.0,606094567.0
0007,202202,1.010.99,47687920.0,28213523.0,-101120.0,13783499.0
0007,202202,1.020.01,3145795.0,2884403.0,136525.0,8874058.0
0007,202202,1.020.02,12373644.0,11866717.0,0.0,4228853.0
0007,202202,1.030.01,60193116.0,73643917.0,8758225.0,29052564.0
0007,202202,1.030.02,3275168.0,3619300.0,4807110.0,3480941.0
0007,202202,1.080.02,28203727.0,30821386.0,-4871744.0,8847562.0
0007,202202,1.080.99,4052379.0,4604309.0,-2231683.0,3716913.0
0007,202202,1.090.99,2626.0,2610.0,-207.0,646.0
0007,202202,1.100.99,196867.0,1806475.0,-340639.0,1460387.0
0007,202202,1.150.99,18212.0,16144.0,-2264.0,4480.0
0007,202202,1.160.99,15933.0,1601673.0,-127921.0,102260.0
0007,202202,1.180.02,0.0,0.0,-1161.0,0.0
0007,202202,2.010.02,309916.0,333754.0,7097.0,180559.0
0007,202202,2.030.02,94318626.0,94348206.0,15819900.0,45707940.0
0007,202202,2.030.04,0.0,0.0,0.0,0.0
0007,202202,2.050.02,134425824.0,134375712.0,29559970.0,53312024.0
0007,202202,3.000.99,0.0,0.0,0.0,0.0
0007,202203,1.010.99,3797735.0,8534962.0,38090.0,1495545.0
0007,202203,1.020.01,68901.0,907237.0,88029.0,642061.0
0007,202203,1.020.02,2594758.0,3509714.0,0.0,1163853.0
0007,202203,1.030.01,23784716.0,22444664.0,2011532.0,9650248.0
0007,202203,1.030.02,833236.0,780554.0,-963257.0,773576.0
0007,202203,1.080.02,0.0,7963693.0,-827758.0,207689.0
0007,202203,1.080.99,897200.0,1112997.0,-2511234.0,688617.0
0007,202203,1.090.99,1750.0,641.0,3.0,405.0
0007,202203,1.100.99,2775786.0,2244007.0,-20824.0,715602.0
0007,202203,1.150.99,0.0,0.0,-2229.0,0.0
0007,202203,1.160.99,0.0,4476.0,-54366.0,0.0
0007,202203,1.180.02,0.0,0.0,-124.0,0.0
0007,202203,2.010.02,-92.0,43482.0,-21.0,7971.0
0007,202203,2.030.02,21935732.0,21828500.0,1275758.0,10546036.0
0007,202203,2.030.04,0.0,0.0,0.0,0.0
0007,202203,2.050.02,43735494.0,43785707.0,7695993.0,15947722.0
0007,202203,3.000.99,0.0,0.0,0.0,0.0
0007,202204,1.010.99,21923616.0,21235539.0,156744.0,6219130.0
0007,202204,1.020.01,3202703.0,2028760.0,271231.0,9490975.0
0007,202204,1.020.02,3645168.0,8358688.0,0.0,1618519.0
0007,202204,1.030.01,46244970.0,49483612.0,5170878.0,18498954.0
0007,202204,1.030.02,3544215.0,3222655.0,-2034855.0,2253213.0
0007,202204,1.080.02,0.0,18858888.0,-3995072.0,1006033.0
0007,202204,1.080.99,1890928.0,2552302.0,-11806009.0,1566643.0
0007,202204,1.090.99,2053.0,1222.0,-38.0,477.0
